Total records loaded: 223983

Question 1: Top 10 highest altitude points
BikeDataRecord [timestamp=1142059271, distance=16979.33, heartrate=104, speed=5.235, alt=175.6, lat=39.2021, lng=-77.33447, pow=0, cad=0, degC=10.0]
BikeDataRecord [timestamp=1142059272, distance=16984.47, heartrate=102, speed=5.328, alt=175.6, lat=39.20213, lng=-77.33451, pow=0, cad=0, degC=10.0]
BikeDataRecord [timestamp=1142059270, distance=16974.31, heartrate=105, speed=5.132, alt=175.6, lat=39.20207, lng=-77.33442, pow=0, cad=0, degC=10.0]
BikeDataRecord [timestamp=1142059269, distance=16968.95, heartrate=105, speed=5.076, alt=175.6, lat=39.20204, lng=-77.33438, pow=0, cad=0, degC=10.0]
BikeDataRecord [timestamp=1142059273, distance=16989.8, heartrate=103, speed=5.43, alt=175.6, lat=39.20217, lng=-77.33455, pow=0, cad=0, degC=10.0]
BikeDataRecord [timestamp=1142059274, distance=16995.19, heartrate=102, speed=5.505, alt=175.4, lat=39.2022, lng=-77.33459, pow=0, cad=0, degC=10.0]
BikeDataRecord [timestamp=1142059278, distance=17018.76, heartrate=101, speed=6.27, alt=175.4, lat=39.20235, lng=-77.33478, pow=0, cad=0, degC=11.0]
BikeDataRecord [timestamp=1142059277, distance=17012.69, heartrate=101, speed=6.0, alt=175.4, lat=39.20231, lng=-77.33474, pow=0, cad=0, degC=11.0]
BikeDataRecord [timestamp=1142059267, distance=16959.09, heartrate=105, speed=4.936, alt=175.4, lat=39.20197, lng=-77.3343, pow=0, cad=0, degC=10.0]
BikeDataRecord [timestamp=1142059266, distance=16953.95, heartrate=104, speed=4.871, alt=175.4, lat=39.20194, lng=-77.33426, pow=0, cad=0, degC=10.0]

Question 2: Search for power = 132
Found 2355 record(s) with power 132.
BikeDataRecord [timestamp=1141977222, distance=71861.58, heartrate=98, speed=7.315, alt=10.0, lat=38.64084, lng=-75.57097, pow=132, cad=71, degC=9.0]
BikeDataRecord [timestamp=1141910452, distance=205249.7, heartrate=122, speed=10.628, alt=12.8, lat=37.22147, lng=-75.95124, pow=132, cad=75, degC=19.0]
BikeDataRecord [timestamp=1142190029, distance=159500.7, heartrate=100, speed=7.418, alt=36.6, lat=37.56352, lng=-76.63553, pow=132, cad=72, degC=34.0]
BikeDataRecord [timestamp=1142077163, distance=125696.63, heartrate=100, speed=7.437, alt=2.8, lat=38.83286, lng=-77.04427, pow=132, cad=14, degC=11.0]
BikeDataRecord [timestamp=1142170897, distance=30667.84, heartrate=102, speed=7.688, alt=47.8, lat=37.44723, lng=-77.18796, pow=132, cad=75, degC=23.0]
BikeDataRecord [timestamp=1142170896, distance=30660.15, heartrate=101, speed=7.633, alt=47.8, lat=37.44717, lng=-77.18791, pow=132, cad=73, degC=23.0]
BikeDataRecord [timestamp=1142015133, distance=312702.4, heartrate=105, speed=8.248, alt=47.8, lat=39.39651, lng=-76.40647, pow=132, cad=80, degC=27.0]
BikeDataRecord [timestamp=1141996464, distance=194464.14, heartrate=106, speed=7.744, alt=19.6, lat=39.20301, lng=-75.69011, pow=132, cad=75, degC=13.0]
BikeDataRecord [timestamp=1142070972, distance=84659.96, heartrate=100, speed=6.671, alt=96.6, lat=38.99601, lng=-77.42152, pow=132, cad=72, degC=9.0]
BikeDataRecord [timestamp=1142114078, distance=338913.72, heartrate=102, speed=7.446, alt=29.2, lat=37.9396, lng=-77.32736, pow=132, cad=69, degC=29.0]
BikeDataRecord [timestamp=1141926448, distance=334341.5, heartrate=106, speed=9.573, alt=17.6, lat=38.16034, lng=-75.44883, pow=132, cad=72, degC=24.0]
BikeDataRecord [timestamp=1141892434, distance=107049.8, heartrate=112, speed=8.183, alt=21.8, lat=36.88676, lng=-76.69463, pow=132, cad=70, degC=19.0]
BikeDataRecord [timestamp=1142087000, distance=180162.4, heartrate=100, speed=7.269, alt=24.2, lat=38.74625, lng=-76.66232, pow=132, cad=63, degC=22.0]
BikeDataRecord [timestamp=1142021358, distance=346899.97, heartrate=107, speed=4.88, alt=96.0, lat=39.27869, lng=-76.70918, pow=132, cad=82, degC=26.0]
BikeDataRecord [timestamp=1142021357, distance=346895.1, heartrate=109, speed=4.805, alt=96.0, lat=39.27871, lng=-76.70913, pow=132, cad=83, degC=26.0]
BikeDataRecord [timestamp=1142199649, distance=214854.42, heartrate=104, speed=4.927, alt=36.4, lat=37.43099, lng=-77.08175, pow=132, cad=61, degC=32.0]
BikeDataRecord [timestamp=1142179819, distance=94022.85, heartrate=114, speed=10.133, alt=17.6, lat=37.71433, lng=-77.03095, pow=132, cad=69, degC=30.0]
BikeDataRecord [timestamp=1142003731, distance=242069.88, heartrate=98, speed=8.883, alt=13.6, lat=39.52081, lng=-75.78578, pow=132, cad=70, degC=25.0]
BikeDataRecord [timestamp=1141913740, distance=234946.72, heartrate=114, speed=8.379, alt=13.6, lat=37.45459, lng=-75.85427, pow=132, cad=71, degC=22.0]
BikeDataRecord [timestamp=1141884717, distance=49932.51, heartrate=105, speed=6.961, alt=36.4, lat=37.01457, lng=-77.17768, pow=132, cad=74, degC=20.0]
BikeDataRecord [timestamp=1141884716, distance=49925.44, heartrate=105, speed=7.007, alt=36.4, lat=37.01463, lng=-77.17771, pow=132, cad=74, degC=20.0]
BikeDataRecord [timestamp=1141980684, distance=87597.48, heartrate=103, speed=7.642, alt=12.8, lat=38.65222, lng=-75.72266, pow=132, cad=73, degC=7.0]
BikeDataRecord [timestamp=1141999754, distance=212293.1, heartrate=100, speed=8.659, alt=17.6, lat=39.30074, lng=-75.77811, pow=132, cad=74, degC=20.0]
